0, 0.033450
1, 0.026569
2, 0.024979
3, 0.024059
4, 0.023386
5, 0.023007
6, 0.022522
7, 0.021958
8, 0.021726
9, 0.021520
10, 0.021316
11, 0.021080
12, 0.020914
13, 0.020750
14, 0.020568
15, 0.020482
16, 0.020285
17, 0.020167
18, 0.020041
19, 0.020002
20, 0.019883
21, 0.019788
22, 0.019673
23, 0.019604
24, 0.019537
25, 0.019398
26, 0.019301
27, 0.019329
28, 0.019198
29, 0.019185
30, 0.019108
31, 0.019109
32, 0.019024
33, 0.018990
34, 0.018909
35, 0.018868
36, 0.018813
37, 0.018746
38, 0.018787
39, 0.018702
40, 0.018700
41, 0.018634
42, 0.018602
43, 0.018572
44, 0.018572
45, 0.018535
46, 0.018523
47, 0.018499
48, 0.018450
49, 0.018467
